#barrel ladder chip rate

#hot/noise/unstable chips on Feb 7th 2016 (T.MOON)
0 6 2 0
0 8 0 0
0 8 1 0
0 8 2 0
0 8 3 0
0 9 7 0
1 0 2 0
1 0 4 0
1 0 5 0
1 0 6 0
1 0 7 0
1 0 14 0
1 0 15 0
1 1 0 0
1 1 13 0
1 1 14 0
1 1 15 0
1 2 15 0
1 3 14 0
1 3 15 0
1 6 0 0
1 6 1 0
1 6 2 0
1 6 3 0
1 6 4 0
1 6 5 0
1 6 6 0
1 6 7 0
1 7 12 0
1 8 15 0
1 10 15 0
1 11 0 0
1 11 1 0
1 11 2 0
1 11 3 0
1 11 4 0
1 11 5 0
1 11 6 0
1 11 7 0
1 11 8 0
1 11 9 0
1 11 10 0
1 11 11 0
1 11 12 0
1 11 13 0
1 11 14 0
1 11 15 0
1 17 14 0
1 17 15 0
1 18 3 0
1 19 0 0
1 19 8 0
1 19 9 0
1 19 10 0
1 19 11 0
1 19 12 0
1 19 13 0
1 19 14 0
1 19 15 0

#hot/noise/unstable chips on Feb 13th 2016 (T.MOON)
1 0 0 0
1 0 1 0
1 0 3 0

#cold chips on Feb 29th 2016 (Gaku Mitsuka)
1 15 12 0
1 15 13 0
1 15 14 0
1 15 15 0

#cold chips on Mar 10th 2016 (T.MOON)
1 15 8 0
1 15 9 0
1 15 10 0
1 15 11 0

#cold chips on Jun 20th 2016 (T.MOON)
0 1 0 0
0 1 2 0
0 1 3 0
0 1 4 0
0 1 5 0
0 1 6 0
0 1 7 0
1 2 0 0
1 2 1 0
1 2 2 0
1 2 3 0
1 2 4 0
1 2 5 0
1 2 6 0
1 2 7 0
1 8 0 0
1 8 1 0
1 8 2 0
1 8 3 0
1 8 4 0
1 8 5 0
1 8 6 0
1 8 7 0
1 8 12 0
1 8 13 0
1 19 1 0
1 19 2 0
1 19 3 0
1 19 4 0
1 19 5 0
1 19 6 0
1 19 7 0
