#PACKETID	RATE
0	62.2363
1	56.4275
2	52.0507
3	46.3855
4	43.3229
5	15.8176
6	0
7	17.2561
8	20.9839
9	18.602
10	18.0138
11	15.3975
12	20.5177
13	17.3307
14	5.43528
15	58.7259
16	54.6803
17	48.3869
18	25.17
19	35.3685
20	14.0009
21	0
22	15.4219
23	15.0852
24	15.0272
25	15.8825
26	17.7913
27	15.8052
28	14.7577
29	10.9295
30	42.6251
31	34.4021
32	56.4169
33	49.9802
34	41.532
35	6.58498
36	16.8853
37	13.6126
38	13.2888
39	11.6951
40	21.3091
41	5.06955
42	14.0958
43	11.994
44	9.68724
45	41.6633
46	36.9401
47	42.2727
48	44.3643
49	42.2027
50	9.85767
51	11.0184
52	10.5334
53	10.4417
54	16.0046
55	19.713
56	17.1677
57	11.8337
58	7.26117
59	13.1423
